zip,ocd
35121,ocd-division/country:us/state:al/cd:4
35121,ocd-division/country:us/state:al/cd:6
35124,ocd-division/country:us/state:al/cd:6
35124,ocd-division/country:us/state:al
35125,ocd-division/country:us/state:al/cd:3
35125,ocd-division/country:us/state:al
35126,ocd-division/country:us/state:al/cd:6
35126,ocd-division/country:us/state:al
35127,ocd-division/country:us/state:al/cd:6
35127,ocd-division/country:us/state:al
35127,ocd-division/country:us/state:al/cd:7
35128,ocd-division/country:us/state:al/cd:3
35128,ocd-division/country:us/state:al
35130,ocd-division/country:us/state:al/cd:4
35130,ocd-division/country:us/state:al
35130,ocd-division/country:us/state:al/cd:6
35131,ocd-division/country:us/state:al/cd:3
35131,ocd-division/country:us/state:al
35133,ocd-division/country:us/state:al/cd:3
35133,ocd-division/country:us/state:al
35133,ocd-division/country:us/state:al/cd:6
35135,ocd-division/country:us/state:al/cd:3
35135,ocd-division/country:us/state:al
35136,ocd-division/country:us/state:al/cd:6
35136,ocd-division/country:us/state:al
35139,ocd-division/country:us/state:al/cd:6
35139,ocd-division/country:us/state:al
35143,ocd-division/country:us/state:al/cd:6
35143,ocd-division/country:us/state:al
35146,ocd-division/country:us/state:al/cd:3
35146,ocd-division/country:us/state:al
35146,ocd-division/country:us/state:al/cd:6
35147,ocd-division/country:us/state:al/cd:6
35147,ocd-division/country:us/state:al
35148,ocd-division/country:us/state:al/cd:4
35148,ocd-division/country:us/state:al
35148,ocd-division/country:us/state:al/cd:6
35149,ocd-division/country:us/state:al/cd:3
35149,ocd-division/country:us/state:al
35150,ocd-division/country:us/state:al/cd:3
35150,ocd-division/country:us/state:al
35150,ocd-division/country:us/state:al/cd:6
35151,ocd-division/country:us/state:al/cd:3
35151,ocd-division/country:us/state:al
35151,ocd-division/country:us/state:al/cd:6
35160,ocd-division/country:us/state:al/cd:3
35160,ocd-division/country:us/state:al
35171,ocd-division/country:us/state:al/cd:6
35171,ocd-division/country:us/state:al
35172,ocd-division/country:us/state:al/cd:6
35172,ocd-division/country:us/state:al
35173,ocd-division/country:us/state:al/cd:3
35173,ocd-division/country:us/state:al
35173,ocd-division/country:us/state:al/cd:6
35175,ocd-division/country:us/state:al/cd:4
35175,ocd-division/country:us/state:al
35175,ocd-division/country:us/state:al/cd:5
35176,ocd-division/country:us/state:al/cd:6
35176,ocd-division/country:us/state:al
